,ID_hecho,FECHA
677,2021-0058,7/21/2021
678,2021-0059,7/22/2021
679,2021-0060,7/22/2021
680,2021-0061,7/24/2021
681,2021-0062,7/27/2021
682,2021-0063,8/2/2021
683,2021-0064,8/2/2021
684,2021-0065,8/6/2021
685,2021-0066,8/6/2021
686,2021-0067,8/8/2021
687,2021-0068,8/15/2021
688,2021-0069,8/20/2021
689,2021-0070,8/28/2021
690,2021-0071,8/31/2021
691,2021-0072,9/1/2021
692,2021-0073,9/18/2021
693,2021-0074,9/20/2021
694,2021-0075,9/21/2021
695,2021-0076,10/16/2021
696,2021-0077,10/18/2021
697,2021-0078,10/23/2021
698,2021-0079,10/25/2021
699,2021-0080,10/28/2021
700,2021-0081,11/2/2021
701,2021-0082,11/6/2021
702,2021-0083,11/9/2021
703,2021-0084,11/11/2021
704,2021-0097,11/18/2021
705,2021-0085,11/20/2021
706,2021-0086,11/25/2021
707,2021-0087,11/27/2021
708,2021-0088,12/1/2021
709,2021-0089,12/2/2021
710,2021-0090,12/10/2021
711,2021-0091,12/11/2021
712,2021-0092,12/12/2021
713,2021-0093,12/13/2021
714,2021-0094,12/20/2021
715,2021-0095,12/30/2021
716,2021-0096,12/15/2021
